17:13:02.411 INFO  t.k.howtoearth.HowToEarthApplication - Starting HowToEarthApplication using Java 17.0.7 with PID 9948 (C:\Users\chojj\IdeaProjects\HowToEarth\build\classes\java\main started by chojj in C:\Users\chojj\IdeaProjects\HowToEarth)
17:13:02.413 INFO  t.k.howtoearth.HowToEarthApplication - No active profile set, falling back to 1 default profile: "default"
17:13:03.796 INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 443 (https)
17:13:03.823 INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["https-jsse-nio-443"]
17:13:03.835 INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
17:13:03.835 INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.10]
17:13:03.931 INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
17:13:03.931 INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1468 ms
17:13:04.267 INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
17:13:04.542 INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
17:13:04.587 INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["https-jsse-nio-443"]
17:13:04.705 INFO  o.a.t.u.net.NioEndpoint.certificate - Connector [https-jsse-nio-443], TLS virtual host [_default_], certificate type [UNDEFINED] configured from [C:\Users\chojj/.keystore] using alias [tomcat] and with trust store [null]
17:13:04.722 INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 443 (https) with context path ''
17:13:04.737 INFO  t.k.howtoearth.HowToEarthApplication - Started HowToEarthApplication in 2.786 seconds (process running for 3.768)
17:13:05.183 INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
17:13:05.184 INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
17:13:05.185 INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
17:18:31.626 INFO  t.k.howtoearth.HowToEarthApplication - Starting HowToEarthApplication using Java 17.0.7 with PID 4556 (C:\Users\chojj\IdeaProjects\HowToEarth\build\classes\java\main started by chojj in C:\Users\chojj\IdeaProjects\HowToEarth)
17:18:31.629 INFO  t.k.howtoearth.HowToEarthApplication - No active profile set, falling back to 1 default profile: "default"
17:18:32.988 INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 443 (https)
17:18:32.997 INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["https-jsse-nio-443"]
17:18:33.002 INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
